id,verdict,reason
46,consistent,All claims are consistent with the backstory.
137,consistent,All claims are consistent with the backstory.
74,consistent,All claims are consistent with the backstory.
109,consistent,All claims are consistent with the backstory.
104,consistent,All claims are consistent with the backstory.
35,contradict,"The chunk never records Ayrton’s forged logbook or the botched marooning of Captain Grant, yet it depicts him as a passive, reluctant convict, contradicting the backstory."
18,consistent,All claims are consistent with the backstory.
31,contradict,"Tom Ayrton/Ben Joyce is depicted as a treasonous quartermaster with no reference to his backstory of rescuing elder Yurook, gaining tribal protection, learning bush tracking, or secretly mapping settler outposts."
68,consistent,All claims are consistent with the backstory.
9,consistent,All claims are consistent with the backstory.
84,contradict,"Kai-Koumou’s backstory says he sealed his emotions after a traumatic skirmish, yet the chunk claims his passions have ruined him and he seeks repentance, implying ongoing emotional turmoil."
83,contradict,"The chunk portrays Ayrton merely as a survivor sailor, omitting the raid‑raiding partnership and presence of Kai‑Koumou described in his backstory."
134,contradict,"The chunk presents Faria as a scholarly abbé focused on treasure and history, with no evidence of his secret‑society strategist or propagandist role in a campaign against corrupt rulers as his backstory states."
88,consistent,All claims are consistent with the backstory.
67,consistent,All claims are consistent with the backstory.
112,consistent,All claims are consistent with the backstory.
79,consistent,All claims are consistent with the backstory.
55,contradict,"Thalcave was meant to quietly alter the route to protect sacred Indian sites, yet the chunk depicts him taking a straight, unmodified path to Fort Independence with no indication of shielding those sites, revealing a narrative inconsistency."
12,consistent,All claims are consistent with the backstory.
13,contradict,"Jacques Paganel’s dialogue displays enthusiasm for the storm spectacle and a lack of deference or remorse toward Lady Glenarvan, failing to show the atoning, protective attitude his backstory requires."
102,consistent,All claims are consistent with the backstory.
92,consistent,All claims are consistent with the backstory.
1,consistent,All claims are consistent with the backstory.
11,consistent,All claims are consistent with the backstory.
65,consistent,All claims are consistent with the backstory.
107,consistent,All claims are consistent with the backstory.
66,consistent,All claims are consistent with the backstory.
89,consistent,All claims are consistent with the backstory.
34,contradict,"Tom Ayrton’s backstory says he planned to trade the illicit Australian land‑deal papers for a pardon, yet in the novel chunk he is portrayed as a stubborn mutineer who refuses to disclose any such information and is already being confined, contradicting his intended quid‑pro‑quo plan."
99,consistent,All claims are consistent with the backstory.
123,consistent,All claims are consistent with the backstory.
116,contradict,"Backstory labels Faria a Jacobin plotter in Lisbon, yet the chunk presents him as an abbé, secretary to Cardinal Spada, a grave ecclesiastical role, incompatible with Jacobin anti‑clericalism."
